Feature,Mean|SHAP|,Importance,Std
B,0.0011153508190375303,-0.008028882750883325,0.02018992026167348
G,0.003955559468823878,0.05909966892404646,0.11988377445913374
R,0.001620319877170573,-0.025750276395771758,0.03059427425972938
angle,0.000732324375836697,0.0280975264050901,0.03742978686550582
h,0.0033108469834617167,0.13996606093575545,0.11085564788290068
opacity,0.015175984277949398,0.7610149632709535,0.4416269340034092
w,0.0019980038042763226,-0.05211254778509179,0.02940876631657105
x,0.001000094038308589,-0.027133230908206307,0.021608792888270775
y,0.0005280207171840629,-0.0007456840556646027,0.029539131606784255
